interaction_id,customer_id,channel,action,timestamp,opened,clicked,responded
1,3297,sms,payment_link,2026-03-15 16:46:40,1,0,0
2,4756,email,support_contact,2026-01-23 23:36:47,0,0,0
3,10843,sms,follow_up,2026-08-17 21:25:12,1,0,0
4,53995,whatsapp,subscription_reminder,2026-01-08 06:04:50,1,1,0
5,59536,voice,payment_reminder,2026-07-15 04:26:45,1,0,0
6,20557,email,subscription_reminder,2026-04-13 10:42:51,1,0,0
7,22397,sms,cart_reminder,2026-08-07 10:20:28,1,0,0
8,87026,sms,support_contact,2026-03-31 22:36:40,1,0,0
9,85204,email,cart_reminder,2026-03-12 15:23:03,1,0,0
10,24411,email,cart_reminder,2026-02-14 12:23:02,1,0,0
11,4070,whatsapp,follow_up,2026-05-06 14:33:19,1,1,1
12,36878,whatsapp,cart_reminder,2026-01-23 14:57:54,1,1,1
13,51108,whatsapp,cart_reminder,2026-08-09 11:12:21,0,0,0
14,61445,email,payment_reminder,2026-08-06 11:13:17,1,0,0
15,37017,whatsapp,subscription_reminder,2026-01-31 11:55:00,1,0,0
16,64170,whatsapp,subscription_reminder,2026-08-05 13:49:57,0,0,0
17,18984,whatsapp,payment_reminder,2026-07-05 17:10:23,1,0,0
18,71981,voice,cart_reminder,2026-03-17 21:56:00,1,1,0
19,39701,whatsapp,follow_up,2026-05-16 03:48:58,1,1,0
20,23223,whatsapp,follow_up,2026-06-07 20:17:18,1,0,0
21,3183,voice,cart_reminder,2026-03-27 16:54:34,1,0,0
22,74295,sms,payment_reminder,2026-07-10 06:31:43,1,0,0
23,75133,email,follow_up,2026-07-09 02:43:00,0,0,0
24,62409,sms,cart_reminder,2026-02-06 15:47:11,1,0,0
25,84836,whatsapp,subscription_reminder,2026-02-05 10:56:53,0,0,0
26,9723,whatsapp,payment_reminder,2026-06-13 03:55:47,0,0,0
27,53068,email,payment_link,2026-06-29 22:49:10,0,0,0
28,68479,email,cart_reminder,2026-07-12 01:05:54,0,0,0
29,62130,whatsapp,payment_link,2026-07-28 04:01:52,1,1,0
30,7302,sms,cart_reminder,2026-07-25 06:16:30,1,0,0
31,97621,voice,cart_reminder,2026-07-10 14:05:31,0,0,0
32,45367,whatsapp,cart_reminder,2026-02-22 08:30:19,1,0,0
33,1496,whatsapp,follow_up,2026-02-17 06:23:37,1,1,0
34,21026,whatsapp,payment_link,2026-07-11 10:41:40,1,1,1
35,39650,voice,follow_up,2026-04-01 02:09:06,1,1,1
36,54952,email,subscription_reminder,2026-07-24 02:24:40,0,0,0
37,10980,whatsapp,cart_reminder,2026-03-21 14:17:52,1,1,0
38,84715,whatsapp,cart_reminder,2026-03-02 11:11:51,1,1,1
39,44526,whatsapp,cart_reminder,2026-08-06 15:07:15,1,0,0
40,87067,whatsapp,payment_link,2026-03-20 00:18:16,1,1,1
41,61071,whatsapp,follow_up,2026-05-15 05:45:49,1,1,1
42,76757,sms,follow_up,2026-03-17 17:44:45,0,0,0
43,65765,sms,cart_reminder,2026-05-07 23:36:57,1,1,0
44,51549,email,payment_reminder,2026-08-07 01:01:32,0,0,0
45,68009,email,follow_up,2026-03-21 15:43:22,0,0,0
46,38974,whatsapp,cart_reminder,2026-04-20 14:44:27,1,0,0
47,12614,whatsapp,cart_reminder,2026-06-30 17:51:44,1,0,0
48,92357,email,subscription_reminder,2026-08-17 02:56:23,1,0,0
49,66313,whatsapp,follow_up,2026-06-20 05:01:24,1,0,0
50,57845,voice,payment_reminder,2026-07-14 14:36:10,1,0,0
51,43953,whatsapp,payment_reminder,2026-07-06 13:27:15,1,1,1
52,98424,email,payment_reminder,2026-07-12 12:24:02,1,0,0
53,9022,whatsapp,payment_link,2026-04-16 10:55:58,1,0,0
54,27480,whatsapp,subscription_reminder,2026-05-28 15:54:52,1,1,1
55,90948,sms,subscription_reminder,2026-04-18 09:00:03,0,0,0
56,69690,email,payment_reminder,2026-03-03 16:21:22,1,0,0
57,41323,email,payment_link,2026-04-28 05:28:32,1,0,0
58,2254,email,follow_up,2026-03-20 18:31:04,0,0,0
59,66013,email,cart_reminder,2026-02-21 00:18:50,0,0,0
60,33644,voice,follow_up,2026-06-23 02:35:56,0,0,0
61,67010,voice,follow_up,2026-05-01 11:52:28,0,0,0
62,4362,email,subscription_reminder,2026-06-08 03:34:56,1,0,0
63,77759,voice,payment_reminder,2026-01-30 14:19:55,0,0,0
64,43071,whatsapp,payment_link,2026-06-10 22:29:28,1,1,1
65,57627,email,payment_reminder,2026-05-20 11:33:15,0,0,0
66,61427,email,payment_link,2026-03-10 22:25:10,1,0,0
67,16403,whatsapp,cart_reminder,2026-07-11 08:58:39,0,0,0
68,81129,whatsapp,payment_link,2026-04-29 14:32:27,1,0,0
69,62529,email,payment_link,2026-05-14 15:12:06,1,0,0
70,52206,voice,subscription_reminder,2026-06-20 10:05:15,0,0,0
71,71092,email,payment_reminder,2026-08-23 22:51:56,1,1,1
72,66503,whatsapp,follow_up,2026-06-18 07:07:18,0,0,0
73,69741,whatsapp,follow_up,2026-06-01 23:35:07,1,1,1
74,42003,sms,payment_reminder,2026-07-13 06:11:50,1,0,0
75,98269,whatsapp,payment_reminder,2026-07-13 11:46:28,1,1,1
