transaction_id,action,recovered,recovered_amount,recovery_time,action_cost,customer_id,amount,payment_method,failure_reason,timestamp,customer_age,customer_since,total_purchases,total_spend,avg_order_value,purchase_frequency,subscription_status,ltv,total_interactions,total_opened,total_clicked,total_responded,open_rate,click_rate,response_rate,fatigue_score,customer_tenure_days,recovery_value_ratio,net_recovered_value
29154,whatsapp,0,0.0,0.0,18.0,83075,515.67,net_banking,expired_card,2026-06-16 12:23:12,37.0,2022-11-28,13,10048.35,772.95,3.48,active,20212.22,1.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,1364,0.0,-18.0
23472,payment_link,1,2224.75,150.9,12.0,96303,2224.75,credit_card,temporary_bank_issue,2026-03-06 18:15:05,35.0,2021-09-26,21,26494.65,1261.65,4.28,active,35499.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1792,1.0,2212.75
22794,payment_link,1,672.02,37.7,12.0,65577,672.02,upi,insufficient_funds,2026-02-09 18:13:20,36.0,2021-07-14,18,29676.06,1648.67,3.52,none,38844.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1866,1.0,660.02
42872,payment_link,1,1295.73,98.0,12.0,68824,1295.73,credit_card,authentication_failed,2026-06-01 10:24:04,31.0,2023-02-19,14,20617.94,1472.71,3.99,none,34003.97,2.0,1.0,0.0,0.0,0.5,0.0,0.0,40.0,1281,1.0,1283.73
60964,payment_link,1,1243.07,96.3,12.0,37438,1243.07,upi,bank_decline,2026-06-19 23:06:14,41.0,2025-09-18,18,30976.2,1720.9,19.39,active,143191.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,339,1.0,1231.07
33210,human_escalation,0,0.0,0.0,250.0,92608,1966.99,wallet,expired_card,2026-05-21 23:14:22,37.0,2021-01-12,11,9395.43,854.13,1.96,inactive,15399.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2049,0.0,-250.0
1385,retry,0,0.0,0.0,8.0,8447,522.96,net_banking,bank_decline,2026-08-19 17:00:15,38.0,2023-07-04,26,17844.06,686.31,8.29,active,34053.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1146,0.0,-8.0
5195,whatsapp,0,0.0,0.0,18.0,94654,1554.61,upi,insufficient_funds,2026-04-24 04:09:35,23.0,2022-03-16,12,31048.56,2587.38,2.7,none,43101.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1621,0.0,-18.0
34529,retry,1,7807.39,125.0,8.0,70260,7807.39,credit_card,temporary_bank_issue,2026-05-24 12:08:17,32.0,2022-11-03,19,121745.54,6407.66,5.0,none,171286.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1389,1.0,7799.39
71621,retry,1,4307.95,64.1,8.0,23650,4307.95,debit_card,temporary_bank_issue,2026-05-29 00:47:22,27.0,2025-12-18,26,103053.6,3963.6,38.29,active,843557.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,248,1.0,4299.95
53829,retry,1,2436.91,121.4,8.0,54601,2436.91,upi,customer_abandoned,2026-02-19 08:31:30,30.0,2022-02-09,13,37830.0,2910.0,2.87,inactive,54062.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,1656,1.0,2428.91
2576,email,0,0.0,0.0,5.0,11724,691.49,upi,expired_card,2026-01-09 10:05:02,20.0,2026-03-12,18,14187.6,788.2,40.09,none,116820.17,2.0,1.0,0.0,0.0,0.5,0.0,0.0,40.0,164,0.0,-5.0
95580,retry,0,0.0,0.0,8.0,97944,2163.15,upi,insufficient_funds,2026-07-11 09:34:06,41.0,2026-01-02,15,31432.35,2095.49,23.51,inactive,163982.81,2.0,2.0,2.0,2.0,1.0,1.0,1.0,10.0,233,0.0,-8.0
32905,retry,1,3267.63,76.8,8.0,89293,3267.63,net_banking,insufficient_funds,2026-04-10 20:51:37,34.0,2021-10-05,17,51854.76,3050.28,3.48,inactive,90573.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1783,1.0,3259.63
78500,whatsapp,0,0.0,0.0,18.0,80474,2070.27,upi,expired_card,2026-01-23 04:14:25,25.0,2026-03-16,23,79145.76,3441.12,52.5,active,899323.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,160,0.0,-18.0
7501,payment_link,1,1802.96,105.6,12.0,96691,1802.96,upi,customer_abandoned,2026-08-18 08:57:01,40.0,2024-04-16,22,33430.98,1519.59,9.35,inactive,86235.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,859,1.0,1790.96
54115,retry,1,1463.6,51.6,8.0,15624,1463.6,wallet,customer_abandoned,2026-03-18 21:03:19,32.0,2021-04-09,17,29617.06,1742.18,3.16,none,36653.93,4.0,2.0,0.0,0.0,0.5,0.0,0.0,50.0,1962,1.0,1455.6
14971,payment_link,0,0.0,0.0,12.0,42673,949.5,upi,bank_decline,2026-06-09 14:05:54,29.0,2025-11-20,13,27329.12,2102.24,17.2,none,87496.8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,276,0.0,-12.0
51133,retry,1,970.12,177.5,8.0,93553,970.12,upi,insufficient_funds,2026-05-05 12:22:26,46.0,2026-04-07,27,47628.81,1764.03,71.46,inactive,562837.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,138,1.0,962.12
95525,retry,1,544.53,129.9,8.0,22318,544.53,credit_card,customer_abandoned,2026-04-05 22:56:28,38.0,2021-06-07,20,22259.4,1112.97,3.84,none,31032.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1903,1.0,536.53
84438,email,1,1311.25,156.1,5.0,72041,1311.25,credit_card,customer_abandoned,2026-05-27 21:07:25,31.0,2023-05-10,23,40590.63,1764.81,6.99,active,111247.08,1.0,1.0,1.0,0.0,1.0,1.0,0.0,35.0,1201,1.0,1306.25
82958,whatsapp,1,1025.51,157.8,18.0,92371,1025.51,credit_card,temporary_bank_issue,2026-05-30 13:36:59,18.0,2025-08-18,20,19057.8,952.89,19.74,active,94789.8,2.0,1.0,0.0,0.0,0.5,0.0,0.0,40.0,370,1.0,1007.51
41317,voice_call,1,1323.96,137.5,90.0,13886,1323.96,upi,bank_decline,2026-05-08 18:41:22,20.0,2025-11-05,14,22322.16,1594.44,17.57,none,96375.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,291,1.0,1233.96
14314,voice_call,1,6845.11,690.6,90.0,633,6845.11,upi,bank_decline,2026-01-06 19:53:12,31.0,2021-05-13,15,44357.25,2957.15,2.84,none,82598.89,1.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,1928,1.0,6755.11
27045,whatsapp,1,6315.72,318.4,18.0,48173,6315.72,debit_card,network_error,2026-07-15 08:53:45,35.0,2025-10-26,27,83965.14,3109.82,32.76,inactive,312933.58,1.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,301,1.0,6297.72
36119,retry,1,1902.48,257.3,8.0,76013,1902.48,debit_card,network_error,2026-06-18 23:12:21,32.0,2021-11-09,17,15409.31,906.43,3.55,active,22484.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1748,1.0,1894.48
80897,email,1,20863.48,127.7,5.0,26642,20863.48,upi,temporary_bank_issue,2026-03-15 04:33:41,34.0,2024-07-16,22,260397.06,11836.23,10.46,none,639544.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,768,1.0,20858.48
82343,retry,1,1079.28,77.9,8.0,87866,1079.28,debit_card,insufficient_funds,2026-03-21 12:45:22,32.0,2021-05-10,17,24689.78,1452.34,3.22,active,44769.87,1.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,1931,1.0,1071.28
16209,whatsapp,0,0.0,0.0,18.0,58616,1383.22,upi,customer_abandoned,2026-02-19 00:04:14,45.0,2023-12-12,21,43588.44,2075.64,7.79,none,77087.6,3.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,35.0,985,0.0,-18.0
10595,voice_call,0,0.0,0.0,90.0,53033,1617.9,net_banking,authentication_failed,2026-08-21 12:59:30,46.0,2024-05-03,17,30466.72,1792.16,7.37,active,66068.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,842,0.0,-90.0
90804,retry,1,1157.81,106.6,8.0,85770,1157.81,wallet,network_error,2026-06-24 02:16:17,52.0,2022-01-18,13,19510.92,1500.84,2.83,none,28967.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1678,1.0,1149.81
75234,whatsapp,0,0.0,0.0,18.0,75365,1651.29,net_banking,authentication_failed,2026-08-10 20:56:31,38.0,2022-01-08,23,44472.8,1933.6,4.98,inactive,73089.42,2.0,1.0,0.0,0.0,0.5,0.0,0.0,40.0,1688,0.0,-18.0
21937,whatsapp,1,4471.08,125.7,18.0,1502,4471.08,credit_card,network_error,2026-08-17 21:38:50,27.0,2023-12-04,16,55747.2,3484.2,5.89,inactive,117616.32,1.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,993,1.0,4453.08
