transaction_id,customer_id,amount,action,observed_probability,observed_expected_revenue,observed_cost,observed_net_value,best_action,best_probability,best_expected_revenue,best_action_cost,best_net_value,probability_uplift,incremental_revenue,incremental_cost,net_incremental_value,action_switch_recommended
50600,91328,1051.17,email,0.6940253,729.5385515713692,5,724.5385515713692,payment_link,0.75946194,798.3236067706347,12,786.3236067706347,0.06543666,68.78505519926546,7,61.78505519926546,True
31412,42112,3808.79,retry,0.70389646,2680.993808994889,8,2672.993808994889,whatsapp,0.73245424,2789.764385996461,18,2771.764385996461,0.028557777,108.77057700157184,10,98.77057700157184,True
88498,3656,2416.48,human_escalation,0.6800046,1643.2175078582763,250,1393.2175078582763,human_escalation,0.6800046,1643.2175078582763,250,1393.2175078582763,0.0,0.0,0,0.0,False
28435,29816,777.92,whatsapp,0.6956982,541.1975450325012,18,523.1975450325012,payment_link,0.73621064,572.7129843711853,12,560.7129843711853,0.040512443,31.51543933868402,-6,37.51543933868402,True
34938,41850,2611.45,whatsapp,0.7247777,1892.7207207918166,18,1874.7207207918166,payment_link,0.7604902,1985.9820781111716,12,1973.9820781111716,0.03571248,93.26135731935506,-6,99.26135731935506,True
75203,51684,980.92,retry,0.6725281,659.6962521719933,8,651.6962521719933,payment_link,0.7236849,709.8769989347458,12,697.8769989347458,0.05115682,50.180746762752506,4,46.180746762752506,True
34300,35965,3228.15,retry,0.49936095,1612.0120468720795,8,1604.0120468720795,human_escalation,0.720898,2327.1667901962996,250,2077.1667901962996,0.22153702,715.1547433242201,242,473.15474332422014,True
60590,60884,1516.25,retry,0.6660331,1009.8726714402437,8,1001.8726714402437,payment_link,0.7415834,1124.4258407503366,12,1112.4258407503366,0.07555032,114.55316931009293,4,110.55316931009293,True
78797,54348,1584.66,whatsapp,0.6440583,1020.6134053051472,18,1002.6134053051472,payment_link,0.6913936,1095.6238040685655,12,1083.6238040685655,0.047335327,75.01039876341827,-6,81.01039876341827,True
15220,39601,2994.21,email,0.6106876,1828.5269591796398,5,1823.5269591796398,payment_link,0.6813367,2040.0651632505655,12,2028.0651632505655,0.07064909,211.53820407092576,7,204.53820407092576,True
43442,30884,2903.42,whatsapp,0.50950074,1479.2946442174912,18,1461.2946442174912,payment_link,0.5674427,1647.5245280730726,12,1635.5245280730726,0.057941973,168.22988385558142,-6,174.22988385558142,True
90923,44900,3115.23,payment_link,0.7274434,2266.1534937769175,12,2254.1534937769175,payment_link,0.7274434,2266.1534937769175,12,2254.1534937769175,0.0,0.0,0,0.0,False
30176,64843,1660.42,retry,0.5472397,908.6477772462368,8,900.6477772462368,whatsapp,0.6048422,1004.2920624351502,18,986.2920624351502,0.057602465,95.64428518891339,10,85.64428518891339,True
3084,90555,1138.77,retry,0.69996977,797.1045733022689,8,789.1045733022689,payment_link,0.746085,849.6192019182444,12,837.6192019182444,0.04611522,52.514628615975425,4,48.514628615975425,True
79175,23663,1672.99,payment_link,0.7063367,1181.6941973787546,12,1169.6941973787546,payment_link,0.7063367,1181.6941973787546,12,1169.6941973787546,0.0,0.0,0,0.0,False
63853,33533,3289.3,retry,0.69210887,2276.5537046194077,8,2268.5537046194077,payment_link,0.7560998,2487.039138376713,12,2475.039138376713,0.06399095,210.48543375730515,4,206.48543375730515,True
35087,96890,4303.36,retry,0.4486788,1930.8263642883298,8,1922.8263642883298,payment_link,0.5229988,2250.652158203125,12,2238.652158203125,0.07432002,319.8257939147952,4,315.8257939147952,True
22710,84860,1348.41,whatsapp,0.522799,704.9474198770523,18,686.9474198770523,payment_link,0.57447803,774.631920708418,12,762.631920708418,0.051679015,69.68450083136565,-6,75.68450083136565,True
67549,74176,2846.19,voice_call,0.51331854,1461.002091565132,90,1371.002091565132,payment_link,0.6558112,1866.5632525885105,12,1854.5632525885105,0.14249265,405.5611610233784,-78,483.5611610233784,True
47090,46518,267.51,retry,0.74570894,199.48459918498992,8,191.48459918498992,payment_link,0.8164313,218.40353276968003,12,206.40353276968003,0.07072234,18.91893358469011,4,14.918933584690109,True
95651,78169,1382.27,voice_call,0.6208093,858.1260941052436,90,768.1260941052436,payment_link,0.7813027,1079.971270005703,12,1067.971270005703,0.16049337,221.84517590045937,-78,299.84517590045937,True
70986,45397,2021.61,payment_link,0.7251853,1466.0418039500712,12,1454.0418039500712,payment_link,0.7251853,1466.0418039500712,12,1454.0418039500712,0.0,0.0,0,0.0,False
7747,61794,1866.02,whatsapp,0.550567,1027.3689797890186,18,1009.3689797890186,whatsapp,0.550567,1027.3689797890186,18,1009.3689797890186,0.0,0.0,0,0.0,False
81832,504,4257.57,human_escalation,0.4158525,1770.5210734480618,250,1520.5210734480618,payment_link,0.45620573,1942.3278114402292,12,1930.3278114402292,0.04035324,171.80673799216743,-238,409.8067379921674,True
53252,91518,5598.7,email,0.6881954,3852.9996273577212,5,3847.9996273577212,human_escalation,0.8571813,4799.101003956795,250,4549.101003956795,0.1689859,946.1013765990733,245,701.1013765990733,True
47903,42888,1774.58,payment_link,0.62542427,1109.8653937125205,12,1097.8653937125205,payment_link,0.62542427,1109.8653937125205,12,1097.8653937125205,0.0,0.0,0,0.0,False
